"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ENTREZID","CC","GO:0043197","dendritic spine","13/144","171/19894",0.0760233918128655,10.5028427550357,10.6564597322357,3.5045229449124e-10,1.20155072396997e-08,8.64273327767871e-09,"HOMER1/SHISA6/GRID2/GRM5/GRIN2A/ATP2B2/SORCS2/GRIA4/NLGN1/GRIA2/SYNE1/ARHGAP32/ANKS1B",13
"ENTREZID","CC","GO:0044309","neuron spine","13/144","173/19894",0.0751445086705202,10.3814226075787,10.5821794663483,4.04896840290741e-10,1.21469052087222e-08,8.73724760627389e-09,"HOMER1/SHISA6/GRID2/GRM5/GRIN2A/ATP2B2/SORCS2/GRIA4/NLGN1/GRIA2/SYNE1/ARHGAP32/ANKS1B",13
"ENTREZID","CC","GO:0098978","glutamatergic synapse","17/144","409/19894",0.0415647921760391,5.74229149687585,8.27460996343952,7.17768695898812e-09,1.56604079105195e-07,1.12645039356369e-07,"HOMER1/PLCB1/SHISA6/IL1RAPL1/LRFN5/GRID2/GRM5/GRIN2A/EPHB1/ATP2B2/NLGN1/SLC1A2/GRID1/GPC6/DLGAP1/TRIO/PTPRD",17
"ENTREZID","CC","GO:0034702","monoatomic ion channel complex","15/144","344/19894",0.0436046511627907,6.02410368217054,8.02624238970067,3.10087914699205e-08,6.20175829398411e-07,4.46091386058506e-07,"CACNA2D3/SHISA6/CACNA1A/KCNQ5/GRID2/CACNB2/GRIN2A/RYR2/KCNIP4/GRIA4/CNTNAP2/GRIA2/KCNMA1/PDE4D/STXBP5",15
"ENTREZID","CC","GO:0060076","excitatory synapse","7/144","64/19894",0.109375,15.1104600694444,9.65423000517227,3.95760097544752e-07,6.7844588150529e-06,4.88004932310822e-06,"HOMER1/SHISA6/GRID2/FGFR2/ATP2B2/NLGN1/GRIA2",7
"ENTREZID","CC","GO:0043025","neuronal cell body","16/144","488/19894",0.0327868852459016,4.52959927140255,6.74085733873761,5.17934388262279e-07,8.28695021219646e-06,5.96078874912377e-06,"HOMER1/AKAP12/CACNA1A/SLC8A1/KCNIP4/ATP2B2/ELOVL5/SORCS2/GRIA4/CNTNAP2/DSCAM/SORBS2/GRIA2/ENC1/ARHGEF7/NRXN1",16
"ENTREZID","CC","GO:1990351","transporter complex","15/144","471/19894",0.0318471337579618,4.39976999292286,6.37602002347406,1.72159965252419e-06,2.43049362709297e-05,1.74824980194406e-05,"CACNA2D3/SHISA6/CACNA1A/KCNQ5/GRID2/CACNB2/GRIN2A/RYR2/KCNIP4/GRIA4/CNTNAP2/GRIA2/KCNMA1/PDE4D/STXBP5",15
"ENTREZID","CC","GO:0044304","main axon","6/144","68/19894",0.0882352941176471,12.1899509803922,7.89246976496151,9.80304487471648e-06,0.00013070726499622,9.40175064007897e-05,"IQCJ-SCHIP1/SPOCK1/ANK3/CNTNAP2/ROBO2/SLC1A2",6
"ENTREZID","CC","GO:0008328","ionotropic glutamate receptor complex","5/144","41/19894",0.121951219512195,16.8478997289973,8.67358041245876,1.12599340678021e-05,0.000142230746119606,0.000102306326156208,"SHISA6/GRID2/GRIN2A/GRIA4/GRIA2",5
"ENTREZID","CC","GO:0098878","neurotransmitter receptor complex","5/144","46/19894",0.108695652173913,15.0166062801932,8.12664431321505,2.00060533543522e-05,0.000228640609764025,0.000164460789479386,"SHISA6/GRID2/GRIN2A/GRIA4/GRIA2",5
"ENTREZID","CC","GO:0098982","GABA-ergic synapse","6/144","79/19894",0.0759493670886076,10.4926160337553,7.21855482294204,2.33230707102877e-05,0.000254433498657685,0.000183013569209913,"PLCB1/EFNA5/LRFN5/ATP2B2/NLGN1/GRID1",6
"ENTREZID","CC","GO:0030018","Z disc","7/144","131/19894",0.0534351145038168,7.38220949957591,6.25789260817471,4.75162931730798e-05,0.000495822189632137,0.000356644031138906,"HOMER1/SLC8A1/RYR2/ANK3/SORBS2/DMD/DST",7
"ENTREZID","CC","GO:0031252","cell leading edge","12/144","426/19894",0.028169014084507,3.89162754303599,5.15150731608484,6.46928466630578e-05,0.000646928466630578,0.000465334511085153,"SHISA6/ATP2B2/CNTNAP2/ROBO2/ITSN1/SORBS2/SLC1A2/PLCG2/ARHGEF7/MACF1/DST/ABLIM1",12
"ENTREZID","CC","GO:0032589","neuron projection membrane","5/144","60/19894",0.0833333333333333,11.5127314814815,6.96360101373034,7.34886594074285e-05,0.000705491130311314,0.000507458532329191,"SHISA6/ATP2B2/CNTNAP2/ROBO2/SLC1A2",5
"ENTREZID","CC","GO:0043198","dendritic shaft","4/144","39/19894",0.102564102564103,14.1695156695157,7.02934725893044,0.000177846280264704,0.00147183128494928,0.00105868566110386,"HOMER1/KIRREL3/GRM5/GRM7",4
"ENTREZID","CC","GO:0097449","astrocyte projection","3/144","19/19894",0.157894736842105,21.8135964912281,7.75029440263027,0.000330565336131592,0.00233867331659992,0.00168220361369468,"SLC2A13/GRM5/SLC1A2",3
"ENTREZID","CC","GO:0031256","leading edge membrane","7/144","179/19894",0.0391061452513966,5.4026225946617,5.05228010337488,0.000331312053184988,0.00233867331659992,0.00168220361369468,"SHISA6/ATP2B2/CNTNAP2/ROBO2/SLC1A2/PLCG2/MACF1",7
"ENTREZID","CC","GO:0042383","sarcolemma","6/144","141/19894",0.0425531914893617,5.87884160756501,4.96429499403124,0.000569952748381669,0.00369699080031353,0.00265923899671675,"SGCZ/CACNB2/SLC8A1/RYR2/ANK3/DMD",6
"ENTREZID","CC","GO:0005938","cell cortex","8/144","309/19894",0.0258899676375405,3.57677094570298,3.89799344195702,0.00187965058589189,0.0115670805285655,0.00832018073107343,"AKAP12/FGFR2/GRM7/RIMS2/STOX1/ARHGAP32/ARHGEF7/DST",8
"ENTREZID","CC","GO:0048786","presynaptic active zone","4/144","77/19894",0.051948051948052,7.17676767676768,4.63698308920902,0.00236654607072574,0.0141071872898057,0.0101472750681058,"GRM7/ATP2B2/RIMS2/TRIO",4
"ENTREZID","CC","GO:0099524","postsynaptic cytosol","2/144","12/19894",0.166666666666667,23.025462962963,6.51678617608282,0.00327457565094747,0.0184739022577722,0.0132882454836607,"HOMER1/PLCB1",2
"ENTREZID","CC","GO:0001725","stress fiber","4/144","85/19894",0.0470588235294118,6.50130718954248,4.34002189608633,0.00338688208059158,0.0184739022577722,0.0132882454836607,"LIMCH1/DST/ABLIM1/LPP",4
"ENTREZID","CC","GO:0097517","contractile actin filament bundle","4/144","85/19894",0.0470588235294118,6.50130718954248,4.34002189608633,0.00338688208059158,0.0184739022577722,0.0132882454836607,"LIMCH1/DST/ABLIM1/LPP",4
"ENTREZID","CC","GO:0030055","cell-substrate junction","9/144","431/19894",0.0208816705336427,2.88486078886311,3.37800945604052,0.00420756411659288,0.0216211393349817,0.0155520475918289,"AKAP12/ARHGAP24/FLRT2/SORBS2/DMD/ARHGEF7/DST/ARHGAP26/LPP",9
"ENTREZID","CC","GO:0032591","dendritic spine membrane","2/144","15/19894",0.133333333333333,18.4203703703704,5.76306588059977,0.00513598494544914,0.0241693409197607,0.0173849645212313,"SHISA6/ATP2B2",2
"ENTREZID","CC","GO:0098985","asymmetric, glutamatergic, excitatory synapse","2/144","15/19894",0.133333333333333,18.4203703703704,5.76306588059977,0.00513598494544914,0.0241693409197607,0.0173849645212313,"SHISA6/NLGN1",2
"ENTREZID","CC","GO:0016010","dystrophin-associated glycoprotein complex","2/144","18/19894",0.111111111111111,15.3503086419753,5.20092795397843,0.00737836001927887,0.032196480084126,0.0231588716394591,"SGCZ/DMD",2
"ENTREZID","CC","GO:0032433","filopodium tip","2/144","19/19894",0.105263157894737,14.5423976608187,5.0427406350974,0.00820751233494326,0.0339621200066618,0.0244288933381251,"EPHB1/NLGN1",2
"ENTREZID","CC","GO:0019898","extrinsic component of membrane","5/144","177/19894",0.0282485875706215,3.90262084118016,3.31210702313834,0.00939134441844283,0.0382020789902759,0.0274786883965143,"TRIO/KALRN/CDH4/GNAQ/STXBP5",5
"ENTREZID","CC","GO:0090665","glycoprotein complex","2/144","23/19894",0.0869565217391304,12.0132850241546,4.51251618543212,0.0119161485869955,0.0461270267883697,0.0331790894442659,"SGCZ/DMD",2
"ENTREZID","MF","GO:0008066","glutamate receptor activity","7/135","27/18522",0.259259259259259,35.5703703703704,15.4028969094776,7.34676951862914e-10,2.38035332403584e-07,1.75549124287244e-07,"GRID2/GRM5/GRIN2A/GRM7/GRIA4/GRID1/GRIA2",7
"ENTREZID","MF","GO:0015085","calcium ion transmembrane transporter activity","9/135","132/18522",0.0681818181818182,9.35454545454545,8.25396435997003,5.2817015620087e-07,6.09882859238538e-05,4.49783655123938e-05,"CACNA2D3/SLC24A2/CACNA1A/CACNB2/GRIN2A/SLC8A1/RYR2/ATP2B2/RASA3",9
"ENTREZID","MF","GO:0098960","postsynaptic neurotransmitter receptor activity","7/135","67/18522",0.104477611940299,14.334328358209,9.36904196267506,5.64706351146795e-07,6.09882859238538e-05,4.49783655123938e-05,"CHRM3/GRID2/GRM5/GRIN2A/GRIA4/GRID1/GRIA2",7
"ENTREZID","MF","GO:0005216","monoatomic ion channel activity","15/135","441/18522",0.0340136054421769,4.66666666666667,6.67764249355973,8.00288197889066e-07,6.48233440290144e-05,4.78066897160047e-05,"ANO4/CACNA2D3/SLC24A2/CACNA1A/KCNQ5/GRID2/CACNB2/GRIN2A/RYR2/KCNIP4/GRIA4/GRID1/GRIA2/RASA3/KCNMA1",15
"ENTREZID","MF","GO:0022836","gated channel activity","12/135","301/18522",0.0398671096345515,5.46976744186046,6.69924303756148,2.12482773977028e-06,0.000129682527264422,9.56398105556326e-05,"CACNA2D3/CACNA1A/KCNQ5/GRID2/CACNB2/GRIN2A/RYR2/GRIA4/GRID1/GRIA2/RASA3/KCNMA1",12
"ENTREZID","MF","GO:0030695","GTPase regulator activity","15/135","488/18522",0.0307377049180328,4.2172131147541,6.17145221757891,2.80178299645355e-06,0.000129682527264422,9.56398105556326e-05,"PLCB1/RAPGEF5/ARHGAP24/RGS7/ITSN1/RGS20/RALGAPA2/RASA3/TRIO/ARHGAP32/ARHGEF7/KALRN/ARHGAP26/GNAQ/STXBP5",15
"ENTREZID","MF","GO:0060589","nucleoside-triphosphatase regulator activity","15/135","488/18522",0.0307377049180328,4.2172131147541,6.17145221757891,2.80178299645355e-06,0.000129682527264422,9.56398105556326e-05,"PLCB1/RAPGEF5/ARHGAP24/RGS7/ITSN1/RGS20/RALGAPA2/RASA3/TRIO/ARHGAP32/ARHGEF7/KALRN/ARHGAP26/GNAQ/STXBP5",15
"ENTREZID","MF","GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","5/135","50/18522",0.1,13.72,7.71718329626136,3.10925373162802e-05,0.000763364609251351,0.00056297519915548,"GRID2/GRIN2A/GRIA4/GRID1/GRIA2",5
"ENTREZID","MF","GO:0004435","phosphatidylinositol phospholipase C activity","4/135","26/18522",0.153846153846154,21.1076923076923,8.79131129911096,3.56270404568999e-05,0.000763364609251351,0.00056297519915548,"PLCB1/CHRM3/PLCL1/PLCG2",4
"ENTREZID","MF","GO:0008081","phosphoric diester hydrolase activity","6/135","87/18522",0.0689655172413793,9.46206896551724,6.77888517954738,4.17421889449737e-05,0.000795557012833617,0.000586716835325637,"PDE10A/PLCB1/CHRM3/PLCL1/PLCG2/PDE4D",6
"ENTREZID","MF","GO:0044325","transmembrane transporter binding","7/135","133/18522",0.0526315789473684,7.22105263157895,6.16956155676018,5.42323521157642e-05,0.000948966451448231,0.000699855050288331,"HOMER1/SLC8A1/ANK3/FGF12/RIMS2/CNTNAP2/PDE4D",7
"ENTREZID","MF","GO:0097110","scaffold protein binding","5/135","70/18522",0.0714285714285714,9.8,6.32053195381225,0.0001580737343827,0.00213399541416645,0.00157380428530144,"HOMER1/GRID2/NLGN1/PLCG2/PDE4D",5
"ENTREZID","MF","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","3/135","17/18522",0.176470588235294,24.2117647058824,8.20411496586818,0.000238936510797629,0.00276483676780114,0.00203904465981435,"PTPRN2/PTPRG/PTPRD",3
"ENTREZID","MF","GO:0019198","transmembrane receptor protein phosphatase activity","3/135","17/18522",0.176470588235294,24.2117647058824,8.20411496586818,0.000238936510797629,0.00276483676780114,0.00203904465981435,"PTPRN2/PTPRG/PTPRD",3
"ENTREZID","MF","GO:0001540","amyloid-beta binding","5/135","85/18522",0.0588235294117647,8.07058823529412,5.59839507888127,0.000392641220906575,0.00438675019219759,0.00323519263687087,"CACNA1A/GRIN2A/GRIA4/NLGN1/GRIA2",5
"ENTREZID","MF","GO:0003779","actin binding","10/135","434/18522",0.0230414746543779,3.16129032258065,3.90396900540803,0.00131135978418754,0.0137058248411859,0.01010793449951,"CACNB2/LIMCH1/ENC1/SYNE1/DMD/KCNMA1/MACF1/DST/FMNL2/ABLIM1",10
"ENTREZID","MF","GO:0005432","calcium:sodium antiporter activity","2/135","10/18522",0.2,27.44,7.16602703188493,0.00228379875503394,0.021763258724441,0.0160502265446657,"SLC24A2/SLC8A1",2
"ENTREZID","MF","GO:0008046","axon guidance receptor activity","2/135","11/18522",0.181818181818182,24.9454545454545,6.80688086709337,0.00277800609413376,0.0257163992714097,0.018965635590026,"EPHB1/ROBO2",2
"ENTREZID","MF","GO:0008514","organic anion transmembrane transporter activity","7/135","258/18522",0.0271317829457364,3.72248062015504,3.7732915476791,0.00286507279183671,0.0257856551265304,0.0190167112206705,"TMEM241/GRIN2A/GRIA4/SLC1A2/GRIA2/SLC4A4/SFXN5",7
"ENTREZID","MF","GO:0030165","PDZ domain binding","4/135","85/18522",0.0470588235294118,6.45647058823529,4.32035879797859,0.00346413597443893,0.0296879372277683,0.0218946125753847,"SHISA6/GRID2/ATP2B2/NLGN1",4
"ENTREZID","MF","GO:0099106","ion channel regulator activity","5/135","140/18522",0.0357142857142857,4.9,3.96895254308564,0.00363144029226694,0.0296879372277683,0.0218946125753847,"KCNIP4/FGF12/FGF14/NRXN1/PDE4D",5
"ENTREZID","MF","GO:0045159","myosin II binding","2/135","13/18522",0.153846153846154,21.1076923076923,6.21421237462182,0.00390228542487064,0.0296879372277683,0.0218946125753847,"LIMCH1/STXBP5",2
"ENTREZID","MF","GO:0005516","calmodulin binding","6/135","205/18522",0.0292682926829268,4.01560975609756,3.72021945491744,0.00393900550644309,0.0296879372277683,0.0218946125753847,"AKAP12/PLCB1/SLC8A1/RYR2/ARPP21/ATP2B2",6
"ENTREZID","MF","GO:0035254","glutamate receptor binding","3/135","44/18522",0.0681818181818182,9.35454545454545,4.75406751594477,0.00403169517907965,0.0296879372277683,0.0218946125753847,"HOMER1/SHISA6/ATP2B2",3
"ENTREZID","MF","GO:0141108","transporter regulator activity","5/135","146/18522",0.0342465753424658,4.6986301369863,3.84446138366497,0.00434018351306424,0.0305699882224525,0.0225451180198074,"KCNIP4/FGF12/FGF14/NRXN1/PDE4D",5
"ENTREZID","MF","GO:0005005","transmembrane-ephrin receptor activity","2/135","15/18522",0.133333333333333,18.2933333333333,5.74116451393028,0.00520322249838803,0.0337168817895544,0.0248659264659807,"EPHA6/EPHB1",2
"ENTREZID","MF","GO:0005521","lamin binding","2/135","15/18522",0.133333333333333,18.2933333333333,5.74116451393028,0.00520322249838803,0.0337168817895544,0.0248659264659807,"PLCB1/SYNE1",2
"ENTREZID","MF","GO:0034483","heparan sulfate sulfotransferase activity","2/135","15/18522",0.133333333333333,18.2933333333333,5.74116451393028,0.00520322249838803,0.0337168817895544,0.0248659264659807,"HS3ST3A1/HS6ST3",2
"ENTREZID","MF","GO:0015171","amino acid transmembrane transporter activity","4/135","101/18522",0.0396039603960396,5.43366336633663,3.82833966558819,0.00638964565983499,0.0405930430154223,0.0299370395207955,"GRIN2A/GRIA4/SLC1A2/GRIA2",4
"ENTREZID","MF","GO:0004620","phospholipase activity","4/135","104/18522",0.0384615384615385,5.27692307692308,3.7477493429012,0.00707691241345305,0.0440946081145921,0.0325194153411709,"PLCB1/CHRM3/PLCL1/PLCG2",4
"ENTREZID","MF","GO:0004653","polypeptide N-acetylgalactosaminyltransferase activity","2/135","19/18522",0.105263157894737,14.4421052631579,5.02304050342592,0.00831401543978742,0.0489771091362022,0.0361202201881674,"GALNT17/GALNT2",2
